iter	Huber:delta=1.0
0	1.532613945
1	1.440385839
2	1.406839506
3	1.36968687
4	1.322478769
5	1.280884589
6	1.253807565
7	1.225164584
8	1.197944845
9	1.175716177
10	1.153609147
11	1.126820486
12	1.109183754
13	1.092921034
14	1.073521317
15	1.051824837
16	1.020527926
17	1.002035822
18	0.9889535369
19	0.9756597018
20	0.9658011846
21	0.9512988552
22	0.9398727995
23	0.9296089308
24	0.9228955377
25	0.9156705358
26	0.9095019174
27	0.9022982818
28	0.8945734052
29	0.8808117928
30	0.8745085333
31	0.8638793153
32	0.8573250666
33	0.851377609
34	0.8452366831
35	0.8372298869
36	0.8323404993
37	0.8278631697
38	0.8216202574
39	0.8168662785
40	0.8105934753
41	0.8028888884
42	0.7971677769
43	0.7893357881
44	0.7855519804
45	0.7796928792
46	0.7750679847
47	0.7716798098
48	0.7684566765
49	0.764312358
50	0.7618267511
51	0.7588359397
52	0.7544117387
53	0.7520763383
54	0.7493981932
55	0.7457915688
56	0.7431666928
57	0.738940465
58	0.734314415
59	0.7287319744
60	0.7234121552
61	0.7198855991
62	0.7155395498
63	0.7106356649
64	0.7079601654
65	0.7020979582
66	0.6995414738
67	0.6962565007
68	0.6920279425
69	0.6875678884
70	0.6837840539
71	0.6805560737
72	0.677344888
73	0.6739826898
74	0.6705371542
75	0.6678972313
76	0.6656750509
77	0.66208294
78	0.6586496804
79	0.6557319681
80	0.6511266425
81	0.6480582092
82	0.6444677706
83	0.6413576937
84	0.6371256736
85	0.633834912
86	0.6318479724
87	0.6302576692
88	0.6282348943
89	0.6261696358
90	0.6223747921
91	0.6195128632
92	0.6174250403
93	0.6157448972
94	0.6124800274
95	0.6102731843
96	0.6074865408
97	0.6052504175
98	0.6015846132
99	0.5996652569
