iter	Passed	Remaining
0	4	487
1	9	466
2	14	454
3	19	476
4	24	462
5	28	451
6	32	438
7	37	425
8	40	411
9	45	406
10	49	399
11	53	395
12	58	390
13	62	384
14	66	379
15	70	371
16	74	362
17	77	355
18	81	347
19	85	341
20	88	334
21	93	330
22	96	323
23	100	317
24	104	313
25	109	311
26	113	305
27	117	302
28	122	299
29	125	293
30	129	287
31	133	283
32	137	278
33	140	272
34	143	266
35	148	263
36	152	260
37	156	255
38	162	253
39	166	249
40	169	244
41	173	238
42	177	234
43	181	230
44	185	226
45	188	221
46	194	218
47	198	214
48	201	209
49	205	205
50	210	202
51	213	197
52	217	192
53	220	188
54	224	183
55	228	179
56	231	174
57	234	169
58	238	165
59	242	161
60	246	157
61	250	153
62	255	149
63	259	146
64	263	141
65	266	137
66	270	133
67	273	128
68	277	124
69	280	120
70	284	116
71	288	112
72	291	107
73	295	103
74	299	99
75	304	96
76	309	92
77	313	88
78	318	84
79	321	80
80	325	76
81	328	72
82	332	68
83	336	64
84	340	60
85	347	56
86	351	52
87	356	48
88	360	44
89	364	40
90	367	36
91	371	32
92	375	28
93	379	24
94	383	20
95	386	16
96	391	12
97	395	8
98	400	4
99	405	0
